logical_prefill_rows,ubatch,status,series_status,avg_rows_per_s,stddev_rows_per_s,sample1_rows_per_s,sample2_rows_per_s,sample3_rows_per_s,avg_ns,stddev_ns,error
64,512,VALID,CLEAN,441.056190,0.369598,440.664,441.399,441.106,145106295,122804,
128,512,VALID,CLEAN,571.452541,1.560446,570.203,570.953,573.202,223991716,611294,
256,512,VALID,CLEAN,661.587407,6.572781,655.844,660.162,668.756,386973500,3832913,
384,512,VALID,CLEAN,687.749345,0.168341,687.555,687.853,687.839,558342975,138712,
512,512,VALID,CLEAN,699.677849,0.331047,699.982,699.726,699.326,731765451,346263,
768,512,VALID,CLEAN,685.977024,0.387761,685.572,686.345,686.014,1119571263,632909,
1024,512,VALID,CLEAN,697.425575,0.289948,697.231,697.759,697.287,1468257195,610273,
1536,512,VALID,CLEAN,696.165057,0.155833,696.201,696.300,695.994,2206373381,498369,
2048,512,VALID,CLEAN,694.516269,0.088739,694.599,694.528,694.422,2948815044,376783,
64,4096,VALID,MALFORMED,442.027216,0.982925,441.062,441.993,443.027,144787942,321924,
128,4096,VALID,MALFORMED,573.336955,3.174368,570.082,573.505,576.424,223258968,1236758,
256,4096,VALID,MALFORMED,660.773200,4.028288,656.345,661.755,664.220,387434533,2366996,
384,4096,VALID,MALFORMED,677.965799,1.066125,676.914,679.046,677.938,566401187,890631,
512,4096,VALID,MALFORMED,692.900523,0.157620,693.080,692.835,692.786,738922833,170253,
768,4096,VALID,MALFORMED,683.102544,0.152077,682.927,683.180,683.200,1124282191,250327,
1024,4096,VALID,MALFORMED,696.671809,0.156760,696.540,696.845,696.630,1469845658,335121,
1536,4096,VALID,MALFORMED,668.741235,0.612971,668.671,669.386,668.166,2296853820,2106071,
2048,4096,DEVICE_LOST,MALFORMED,,,,,,,,Vulkan queue submission abort; no valid value
